,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
C15orf40,0.097926,0.47604,-0.06768,-0.078073,-0.039755,-0.051116,0.047307,0.2531,0.34067,0.044781,0.081474,0.23252
C15orf41,0.10185,0.10441,0.20086,0.37149,-0.35865,0.51936,-0.042427,0.11205,0.0708,0.062061,0.18553,0.09731
C15orf43,-0.11238,0.17392,0.58168,0.2292,0.14568,-0.39245,0.14676,-0.22044,-0.055229,-0.17653,0.078539,-0.062493
C15orf48,0.082599,-0.10867,0.64188,0.10689,0.34827,0.21016,-0.20992,-0.14677,0.13502,0.17065,-0.073879,0.15323
C15orf52,-0.14969,-0.17009,-0.025462,0.20127,0.29725,0.07742,-0.056613,-0.35738,0.21579,0.06108,-0.18908,0.025044
C15orf53,0.25683,0.15864,0.075329,0.10789,-0.041031,-0.15576,-0.1115,-0.078435,-0.10301,-0.13013,-0.0059389,-0.097252
C15orf54,0.021011,0.20366,-0.25347,0.26398,0.095392,0.20729,0.04835,0.11456,-0.11088,-0.19716,0.13501,0.0076564
C15orf56,0.040453,-0.10966,-0.20239,0.46084,0.077357,-0.27391,-0.018448,0.019582,0.093907,-0.0029747,0.048773,-0.046881
C15orf57,0.11558,0.25622,-0.18033,0.074015,0.1346,0.31748,0.086761,0.19806,0.00013746,-0.026245,0.13416,0.049316
C15orf59,-0.072257,0.21948,-0.077638,0.28838,0.46686,-0.19974,0.013435,-0.056256,-0.15424,-0.052516,-0.076078,-0.020251
C15orf61,0.065528,0.31033,0.08811,0.19238,-0.18133,0.15095,0.091346,0.12314,-0.069264,0.14928,-0.012903,-0.014657
C15orf62,-0.15416,-0.12623,-0.34183,0.18421,0.34414,-0.16165,0.18763,0.019387,-0.048169,0.080893,-0.066335,-0.07251
C15orf65,-0.40951,0.099102,-0.14345,-0.083381,0.28179,0.26443,0.15152,-0.052661,0.13535,0.048469,-0.15505,0.0072246
C16orf13,-0.28587,-0.30774,0.20848,0.1239,-0.14639,-0.44553,-0.010585,0.18434,-0.10462,0.012902,0.0051709,-0.12296
C16orf45,-0.13695,-0.21681,-0.41031,0.22134,-0.2271,0.098683,0.079516,-0.098079,-0.14617,-0.0038149,-0.079514,-0.30004
C16orf46,-0.10343,0.29614,0.29415,0.19601,0.079113,0.22001,0.020757,0.011782,-0.067617,-0.023276,-0.045996,-0.13512
C16orf47,-0.42602,0.28063,-0.19158,0.17548,0.025858,0.05761,-0.13803,0.18608,0.20236,-0.032256,-0.13765,0.126
C16orf52,-0.1406,-0.13536,0.17848,-0.027525,0.48598,-0.093938,-0.057754,0.24921,0.19001,-0.12893,0.2625,0.2988
C16orf54,0.1826,0.058968,0.053162,0.054225,-0.1825,-0.25621,-0.053254,0.062072,0.029347,-0.07892,-0.0087169,-0.26141
C16orf58,0.19602,-0.59576,-0.42914,0.15795,-0.087929,-0.04564,-0.010101,0.058291,0.10963,0.16015,0.043716,-0.0020459
C16orf59,-0.057257,0.089493,-0.27566,0.79166,0.37252,0.42864,0.040397,0.14783,0.2685,0.12824,0.045676,0.13106
C16orf62,0.02209,0.33812,0.24443,0.43124,0.61314,0.79071,-0.093145,-0.066375,-0.15572,-0.16655,0.10037,0.019807
C16orf70,0.07111,0.27394,-0.18439,0.29281,0.10078,-0.31518,-0.00034451,0.28887,0.10686,-0.030434,0.21774,0.07171
C16orf71,-0.097962,0.13584,-0.030736,0.15409,-0.01005,-0.31556,-0.056628,-0.0030691,0.071766,-0.12269,-0.18689,-0.45548
C16orf72,0.25215,0.0753,0.60831,0.41344,0.53358,0.67161,0.030581,-0.043758,-0.31396,-0.051272,-0.12185,-0.21556
C16orf74,0.060654,-0.25589,-0.11405,0.21496,0.10888,0.18578,-0.088609,-0.092034,0.02718,0.029884,0.0091015,0.0096701
C16orf78,-0.20178,-0.012652,0.36398,0.21462,-0.11646,-0.23522,-0.082649,-0.19914,-0.22716,-0.084632,-0.090863,-0.061948
C16orf82,0.311,-0.026479,-0.23605,0.8924,0.18041,0.211,0.21327,0.38699,-0.019413,0.021603,0.073588,0.09087
C16orf86,-0.010828,-0.014519,-0.031995,0.26906,0.30425,-0.46293,0.071202,-0.13927,-0.038214,-0.088212,-0.061349,-0.054252
C16orf87,0.072111,-0.090047,0.065319,0.070515,-0.040458,0.045323,0.10385,0.04795,-0.11996,0.15515,0.28382,-0.018395
C16orf89,0.08077,0.037087,0.26683,0.21956,0.29239,0.23103,0.12676,0.19715,0.036244,0.049674,0.10271,-0.19987
C16orf90,-0.43225,0.051591,-0.4592,0.063046,-0.34723,-0.30864,0.1766,0.1277,-0.073543,-0.093422,0.28244,0.06815
C16orf91,0.3986,0.072649,0.52736,0.31554,0.17019,0.13561,-0.16608,0.013112,-0.16016,0.064084,-0.18969,-0.16815
C16orf92,0.18261,0.21995,0.075146,0.18929,0.010699,-0.0045277,-0.1021,-0.018636,0.076871,0.12567,0.007328,0.22324
C16orf93,-0.30556,0.30102,0.19974,0.25589,-0.26348,-0.10013,0.023371,0.011313,-0.28839,-0.11494,-0.098165,-0.25577
C16orf95,-0.12131,-0.40827,0.12364,0.22357,0.016135,0.41207,0.1173,-0.051038,-0.056939,-0.0011138,-0.17624,-0.19465
C16orf96,0.11427,-0.049904,0.050733,0.19028,-0.34731,0.082215,-0.12537,0.13635,-0.2449,0.036839,0.042307,-0.44569
C16orf97,-0.028837,0.01033,-0.17796,0.1158,0.12156,-0.14831,-0.046898,-0.21532,-0.22662,-0.0075605,-0.084314,-0.20228
C17orf47,0.37745,0.43334,0.32088,0.22893,0.33567,-0.32838,-0.053655,-0.14131,-0.2331,-0.054947,-0.06492,-0.0067988
C17orf49,0.28709,0.21292,0.82436,1.0455,-0.40061,-0.69035,-0.086126,0.032168,0.31454,-0.21001,-0.43966,-0.46853
C17orf50,0.2102,0.037924,0.64118,0.59865,-0.095442,-0.26296,0.024804,0.28276,-0.04959,-0.13803,0.013606,-0.051185
C17orf51,0.18554,0.1356,0.1204,0.099319,0.27353,0.25033,0.10986,0.081331,-0.012561,0.25834,-0.14715,-0.029316
C17orf53,-0.028995,-0.64167,-0.52692,0.7707,-0.40273,0.44402,0.023326,-0.59311,-0.91324,0.12042,-0.87255,-1.3787
C17orf58,0.087465,-0.10026,-0.21541,0.021196,0.32725,-0.012099,0.13941,0.033485,0.05276,-0.084613,0.27997,-0.036033
C17orf59,0.10788,0.16565,0.41421,0.45246,0.54266,0.066723,-0.0016679,-0.19234,0.33205,-0.053332,-0.063555,0.13334
C17orf62,-0.29951,-0.13876,-0.18932,0.37705,0.35757,0.19278,0.011001,-0.15693,-0.37344,-0.056343,-0.050909,-0.48177
C17orf64,0.036074,-0.21355,-0.11125,0.23425,-0.17731,-0.24031,-0.13087,-0.1015,0.010851,0.002073,-0.043012,0.038388
C17orf67,-0.25816,-0.31608,-0.11257,0.026743,0.231,0.64249,0.031531,-0.44766,-0.21375,0.072338,-0.2097,-0.41039
C17orf70,-0.27626,0.56445,-0.65832,0.51061,0.52065,0.15738,-0.079256,0.041025,-0.33789,-0.015596,-0.49319,-1.0067
C17orf74,0.27879,-0.0049224,-0.21642,0.21133,0.45029,0.66731,-0.15749,0.021892000000000002,-0.2862,-0.1448,-0.0038497,-0.015715
C17orf75,0.25622,0.30283,0.29673,0.28745,-0.42264,0.52232,-0.027867,-0.077552,-0.066559,-0.00021492,0.015661,-0.03533
C17orf77,0.018431,-0.050977,0.069205,0.1492,0.24637,0.015281,0.095877,-0.022349,0.069319,-0.054079,-0.065921,0.10205
C17orf78,0.061439,0.043194,-0.4795,0.37221,0.065867,0.36928,-0.012959,-0.069116,-0.034937,0.097835,-0.011935,0.0057952
C17orf80,0.12583,0.24559,0.33711,0.18018,-0.17231,0.056034,0.098362,0.20941,0.50552,-0.26807,-0.18302,0.26919
C17orf82,0.31019,0.056915,0.1819,0.47351,-0.31985,0.066004,-0.092,-0.25913,0.020215,0.018993,0.036254,0.045742
C17orf85,-0.10493,0.12818,-0.20519,0.37165,0.051704,-0.61218,-0.13197,-0.036691,-0.17683,-0.33342,-0.064959,-0.034825
C17orf89,-0.19025,0.391,0.21226,0.29415,0.6087,-0.032791,0.054787,0.12698,0.17771,0.17776,-0.066322,0.04205
C17orf96,-0.47897,-0.12427,-0.26749,0.084701,0.08984,0.19391,0.1744,-0.0077498,0.083568,0.2136,-0.13279,0.20089
C17orf97,-0.28336,0.062138,0.43414,0.10947,0.27307,-0.25655,-0.18166,0.048557,-0.10194,-0.051097,0.20883,0.024721
C17orf98,0.095208,-0.024657,-0.072391,0.25554,-0.048321,0.46095,-0.18373,0.021061,0.062259,-0.14202,-0.032522,-0.19256
C17orf99,0.13843,-0.38729,0.14575,0.23058,0.18224,0.14237,0.0087084,0.16595,0.042196,-0.031928,0.009291,0.13783
C17orf100,-0.26698,-0.14224,0.20015,0.22804,0.46189,0.43375,-0.059111,-0.0068079,-0.057189,0.15137,0.13608,-0.065841
C17orf102,-0.20135,-0.09698,0.036677,0.16687,0.02963,0.11575,-0.13424,0.045226,-0.13979,-0.22183,0.23622,0.060562
C17orf104,0.1596,0.41892,0.27141,0.39416,-0.064229,0.11108,0.15006,0.16984,0.16526,0.23984,0.034381,0.31138
C17orf105,-0.12114,0.44736,-0.07196,0.18732,0.034573,-0.11982,0.064077,0.007899,0.18298,-0.010587,-0.064251,-0.090991
C17orf107,0.44195,-0.21427,0.21256,0.30536,0.64126,0.28833,0.0017915,-0.079304,-0.13296,-0.052523,0.056162,-0.088684
C17orf112,0.17536,0.15247,-0.10315,0.13889,0.21041,-0.17407,0.00073912,-0.080429,0.050693,0.041896,-0.053908,0.17918
C18orf8,0.43076,0.22299,0.57336,-0.091829,-0.023846,-0.31678,0.020989,0.22498,-0.12438,0.12545,0.044673,-0.09558
C18orf21,-0.12708,-0.1567,0.43247,0.23927,-0.14341,0.27069,-0.010026,-0.52924,-0.30706,0.064168,0.01796,-0.10037
C18orf25,0.07437,0.15882,-0.44564,-0.099516,0.51738,-0.13554,0.15582,-0.14045,-0.055951,-0.034511,0.021239,0.015912
C18orf32,0.36611,0.32328,0.00068123,0.24508,-0.34071,0.11606,0.12199,0.025851,-0.083489,0.2076,-0.073691,0.089323
C18orf42,0.23842,0.34196,0.60272,0.09451,0.029865,-0.42543,-0.07735,0.13999,-0.0050597,-0.040036,0.067823,-0.15274
C18orf54,-0.11083,-0.12258,0.12296,-0.23294,-0.2496,0.18141,-0.24492,-0.022412,0.04579,-0.1365,-0.11804,0.039987
C18orf63,-0.41727,-0.0032293,-0.26125,-0.044148,0.43299,-0.20466,0.024824,-0.14465,-0.22686,-0.076718,-0.30677,0.1687
C18orf65,0.030912,0.018987,0.10391,0.073252,-0.096285,0.36547,0.076549,-0.063617,-0.35349,0.051867,0.012565,-0.12499
C19orf12,0.15993,0.10051,0.10314,0.19435,0.10941,-0.13507,0.10645,0.20209,-0.34085,0.16242,0.11451,0.026456
C19orf18,0.18718,-0.21071,0.58042,0.65145,0.29322,0.35582,-0.22888,-0.12518,-0.041338,-0.19233,0.15557,0.047935
C19orf24,0.24735,-0.084831,-0.039091,0.078373,0.14636,0.034054,0.1055,-0.13824,-0.0070745,0.18926,-0.31754,-0.15888
C19orf25,-0.15849,0.32239,0.79927,0.1484,0.07538,0.44365,-0.082997,0.063682,0.40993,-0.13398,0.065801,0.2604
C19orf26,0.087905,0.29088,0.51218,-0.04741,0.13804,0.037645,0.033529,0.11991,0.1092,-0.046147,-0.10292,-0.043941
C19orf33,0.17133,0.0088296,-0.094096,0.50302,0.13066,-0.19125,-0.2906,-0.026301,0.13647,-0.058207,-0.25872,0.015771
C19orf35,0.07262,0.0052872,0.31724,0.26153,0.11725,0.38394,0.14801,0.12863,0.18326,0.20042,0.19429,0.23411
C19orf38,0.2707,0.15873,0.40671,0.081674,0.083859,0.035211,-0.0090053,0.1601,0.34382,-0.20535,-0.01599,0.078547
C19orf40,-0.3394,-0.41282,0.12906,0.42102,-0.1457,-0.10573,0.049452,-0.11381,-0.3312,-0.094988,-0.2688,-0.64004
C19orf43,0.24119,0.33041,0.64798,0.1476,-0.20875,-0.16275,-0.060563,-0.24308,-0.29949,0.15011,-0.34562,-0.49121
C19orf44,0.22359,-0.16709,0.039419,0.24443,-0.45358,-0.19004,0.11778,0.0050634,-0.19674,0.225,0.0027226,-0.137
C19orf45,0.36549,-0.25681,0.3171,0.3974,0.088498,-0.02277,-0.027727,0.0037961,0.12314,-0.11156,-0.16762,0.067989
C19orf47,-0.0013899,0.16141,-0.21958,0.49472,-0.48335,0.33768,0.068093,0.0209,0.11729,0.11258,-0.0060356,0.025912
C19orf48,-0.075032,0.22299,-0.040677,0.2983,-0.11536,0.18896,0.28457,0.12511,0.26481,0.2131,0.080867,0.07725
C19orf52,-0.35885,0.29805,1.0467,1.2173,0.080891,0.5667,-0.51302,-0.18097,-0.031741,-0.055988,-0.069614,-0.57735
C19orf53,0.16003,-0.23531,0.43886,1.0217,0.43298,-0.15013,-0.18402,0.097617,-0.2146,0.19987,0.37608,0.12528
C19orf54,-0.01363,0.11904,0.58599,0.2025,0.42395,0.18479,0.10404,-0.12121,-0.031788,0.092114,0.063985,0.097639
C19orf57,0.23615,-0.060884,0.82963,-0.087767,-0.41156,-0.11404,-0.0401,-0.020301,-0.11741,0.24284,-0.034613,0.10758
C19orf60,-0.15232,-0.47614,0.65952,0.11419,-0.098797,0.029438,-0.039979,-0.13498,-0.1063,0.11161,-0.16166,0.035165
C19orf66,0.25153,0.57071,0.38533,0.032563,0.02626,-0.061421,-0.11522,-0.089143,0.091944,0.10104,-0.11955,0.021929
C19orf67,0.1018,0.24569,0.54705,0.2131,0.030677,0.090661,-0.10104,-0.18725,-0.01475,0.073778,-0.13976,0.0047198
C19orf68,0.096292,0.076095,-0.038155,-0.037837,0.41093,0.21231,-0.078755,-0.054404,-0.035975,0.074924,0.0023553,0.0014674
C19orf70,0.21346,0.016837,-0.16489,0.28173,0.10114,-0.025229,0.1374,2.827e-05,-0.16373,0.12812,0.068612,-0.11784
C19orf71,0.17502,0.3021,0.37059,-0.088696,0.19015,0.031594,0.13968,-0.2187,0.006259,-0.096105,-0.13612,-0.08781
C19orf73,0.35723,0.019533,0.80328,0.29601,0.53049,-0.017653,-0.031085,-0.018899,-0.021044,-0.10362,-0.12979,-0.2156
C19orf80,0.29521,-0.63652,0.48116,-0.22145,0.24561,0.29748,0.056508,-0.3863,0.076168,0.051064,-0.32042,0.10206
C19orf81,0.2489,0.073295,-0.050249,0.16382,0.29057,0.14509,-0.0013759,-0.067619,-0.11033,-0.024697,-0.087842,-0.025569
C19orf84,0.61731,0.27976,0.29012,0.56325,0.11355,0.10772,-0.050513,0.16606,0.18482,-0.10468,0.012298,-0.19398
C20orf24,0.11974,-0.037512,-0.093856,0.35982,0.34149,-0.48396,-0.021267,0.18811,0.10013,-0.014074,0.1341,0.26203
C20orf27,0.13997,-0.1125,-0.026406,0.095636,0.076052,0.74695,-0.1124,0.1408,-0.071654,-0.038931,-0.13714,0.0058036
C20orf62,-0.029584,0.22728,-0.41316,0.2862,0.28587,0.38119,-0.056766,0.011989,-0.031111,-0.023451,0.15363,0.12486
C20orf78,0.42096,-0.10195,0.26847,0.28317,0.87725,-0.15877,0.10738,-0.16568,-0.039082,0.18219,0.016747,0.19497
C20orf85,0.1033,0.19489,0.54923,0.067309,-0.024212,-0.11968,0.10953,-0.18145,-0.10848,0.016023,0.11368,-0.1581
C20orf96,0.15748,-0.2827,-0.17904,0.80038,0.077306,0.24027,-0.12861,0.016074,0.11811,-0.20932,-0.07951,0.14176
C20orf141,0.092649,0.12681,0.30747,0.2203,0.062128,0.087311,-0.086749,-0.20582,-0.14997,-0.21173,-0.31558,0.087944
C20orf144,-0.14951,0.24661,0.12607,-0.0012141,-0.017227,-0.33449,0.095102,0.11859,0.24629,0.072371,0.022063,0.074715
C20orf173,0.13194,0.050981,-0.013535,0.41074,-0.27538,0.19812,0.17737,0.018976,-0.30013,0.15565,-0.053714,-0.1254
C20orf194,0.059974,0.035219,0.017138,0.14342,0.15854,-0.088175,-0.24102,-0.25401,-0.2027,-0.18118,-0.17116,-0.13653
C20orf195,-0.44488,0.04501,0.35855,-0.11075,-0.006902,-0.4636,0.033165,0.048712,-0.30844,0.13201,-0.11691,0.23899
C20orf196,0.11397,0.37956,0.13763,0.19634,-0.0066808,0.25189,-0.014921,0.21743,0.031781,0.021655,0.1148,0.007221
C20orf197,-0.22141,-0.09724,-0.050123,0.16755,-0.024559,-0.31771,-0.12991,-0.21942,0.023671,-0.052668,-0.36052,-0.083866
C20orf202,-0.027807,-0.36454,0.046466,0.70713,0.035637,0.4906,0.083252,-0.072208,-0.10429,0.091117,-0.25403,-0.16548
C20orf203,0.42641,-0.52948,-0.036716,0.31438,0.136,0.089007,0.0037764,-0.042295,-0.024149,0.13589,0.19599,-0.038913
C21orf2,0.082809,-0.36559,0.10022,0.4294,0.10617,-0.07123,0.042192,-0.090246,-0.025258,0.078231,0.094856,-0.079408
C21orf33,-0.11144,-0.27509,0.33925,0.0035829,0.065549,0.10884,0.033948,-0.11624,-0.13722,0.084774,-0.26215,-0.22201
C21orf58,0.10315,0.1183,0.17315,0.51526,0.26964,0.45188,0.10531,0.098619,-0.017776,0.21577,-0.054891,-0.06556
C21orf59,-0.15005,0.4901,0.090734,0.93577,0.93787,-0.56096,-0.029694,0.043266,0.38796,-0.13506,0.055692,0.15946
C21orf62,0.067728,-0.089777,-0.45577,0.21064,0.44385,-0.10979,-0.28882,0.0031395,-0.24675,0.013283,0.034684,-0.18683
C21orf91,-0.23863,-0.53597,0.23879,0.037259,0.58156,-0.17443,0.043839,-0.016141,0.11367,0.0089566,-0.14291,-0.078029
C21orf140,0.079425,0.089843,0.10976,0.076866,0.36178,-0.066523,-0.063427,0.10914,-0.026001,-0.071442,-0.20918,-0.11662
C22orf15,0.016381,0.19454,0.062935,0.0094718,-0.028252,-0.54041,-0.16438,-0.24857,-0.096319,-0.11665,-0.09461,0.016937
C22orf23,-0.23307,0.14098,0.15969,0.012628,-0.35774,0.11848,-0.1407,-0.06665,0.021739,-0.28327,-0.034979,-0.32313
C22orf24,-0.037518,0.16498,0.28022,0.20756,-0.45719,0.58382,-0.13343,0.15473,0.43385,-0.028312,0.1801,0.20719
C22orf29,0.28187,0.20845,0.37514,0.24522,-0.00032635,-0.10702,-0.012913,-0.051838,0.14697,-0.011417,-0.061721,-0.0093088
C22orf31,-0.018078,0.43959,0.43397,-0.0083827,0.054478,0.012242,-0.13825,-0.35116,-0.080735,0.22669,0.054301,0.13226
C22orf34,0.17373,0.17848,0.1585,0.44754,-0.2601,0.16834,0.034839,-0.22315,-0.14158,-0.10137,0.11632,-0.15751
C22orf39,0.39303,0.2544,0.48859,-0.21018,0.23446,-0.6102,-0.0022967,0.065173,0.07844,-0.11391,-0.13405,-0.070023
C22orf42,0.042875,-0.068589,0.04731,-0.054652,0.030996,-0.069112,-0.10603,-0.14446,-0.011358,-0.16196,-0.021699,0.039194
C22orf46,-0.1471,-0.68979,-0.40453,0.396,-0.32891,-0.20839,-0.023467,-0.24552,-0.247,0.11525,-0.23705,-0.36235
CA1,-0.10529,0.04504,1.2244,0.15539,-0.44258,-0.29621,0.15631,-0.0044006,-0.35574,-0.079727,0.21213,-0.24455
CA2,-0.17906,0.07835,-0.0079929,0.17486,-0.059413,-0.091971,0.1083,0.11823,0.10938,0.037233,-0.0027887,-0.092749
CA3,0.33292,0.43503,-0.10722,0.010317,0.25131,-0.062673,-0.20545,-0.040323,-0.11943,-0.22303,0.07488,-0.18613
CA4,-0.1207,0.22813,-0.35265,0.16824,-0.19351,0.49602,-0.17576,0.053384,-0.28808,-0.16728,0.29885,0.22285
CA5A,-0.13999,-0.1381,0.24916,0.52047,0.23189,0.29287,0.043224,-0.004817,-0.025572,-0.17307,-0.035901,0.030902
CA5B,0.10496,0.063577,-0.080216,0.33793,-0.14647,0.01349,0.090087,0.15335,0.056273,0.067076,0.023885,-0.11465
CA6,0.13798,0.31804,0.41571,-0.058165,0.18421,-0.17417,-0.050122,0.07035,-0.44815,0.1403,-0.09146,-0.24124
CA7,0.32194,-0.10981,-0.51719,0.19819,0.036468,-0.20659,-0.14549,0.069667,-0.1463,-0.18906,0.064668,0.10216
CA8,0.25686,0.21727,0.16937,0.1202,-0.30912,0.1046,-0.010353,-0.11005,-0.3695,0.16127,-0.25811,-0.25254
CA9,0.1503,0.13722,0.35001,0.55157,0.10322,-0.14078,0.091458,-0.024115,0.019598,-0.013676,0.0014076,0.10081
CA10,0.047029,-0.061937,-0.0055369,0.049002,-0.11278,0.40474,0.0031656,0.21621,0.11851,0.20307,0.37464,0.25634
CA11,0.20695,0.19111,0.58345,0.37524,0.0089885,0.14237,0.089698,-0.10417,0.005558,0.039464,0.078652,0.071138
CA12,-0.14384,0.50395,-0.03367,0.34043,-0.54367,-0.36598,0.072204,-0.057414,0.29803,0.10837,0.041463,0.23796
CA13,0.26061,0.15817,0.43666,0.37363,0.077749,-0.12535,-0.019032,-0.0093015,-0.12278,0.0075095,-0.15945,-0.0037372
CA14,0.2413,-0.11624,0.12864,0.077355,-0.084701,0.11221,0.011103,0.063419,-0.25219,0.055789,0.095934,-0.20366
CAAP1,-0.18282,-0.019479,0.2576,0.51106,0.38696,-0.013346,-0.022601,0.0083716,-0.030955,0.1251,0.028825,0.20918
CAB39,0.0069979,0.50242,-0.33068,0.35253,0.32028,-0.88995,-0.034837,0.12471,-0.10752,-0.16188,-0.072448,-0.019323
CAB39L,-0.038477,0.1327,-0.18518,0.35513,0.0096368,-0.12932,-0.062641,0.030788,0.20582,-0.22858,0.045876,0.29407
CABIN1,0.28541,0.085278,-0.13247,0.45406,0.035598,0.02714,-0.22005,-0.024698,-0.17255,0.17561,-0.020862,-0.021484
CABLES1,0.085646,0.16686,0.2205,0.18929,-0.24935,0.30567,-0.098452,0.063973,0.080384,-0.063038,-0.17622,-0.077251
CABLES2,-0.23906,0.046328,-0.040572,0.36906,-0.13132,-0.11899,0.20522,0.19848,-0.18523,0.10345,0.19294,0.067966
CABP1,0.58885,0.41144,0.91595,-0.079887,1.1711,1.1365,-0.42341,-0.47533,-0.4141,0.018616,-0.832,-0.6846
CABP2,-0.14448,-0.018301,0.26998,0.44465,-0.095341,0.13443,0.12029,-0.053758,-0.077061,-0.054607,-0.16144,0.010515
CABP4,0.11145,-0.062049,0.62404,0.1273,-0.1927,0.27244,-0.068958,0.11508,0.26734,-0.077706,0.010477,0.086
CABP5,0.2669,-0.033371,0.75063,0.27277,-0.087148,0.36729,-0.033762,0.11106,0.0064623,-0.057091,0.018238,-0.083669
CABP7,0.054965,-0.061092,0.25158,0.11257,-0.17806,-0.28687,-0.17314,-0.22983,-0.056859,-0.16422,-0.058836,0.13184
CABS1,0.021456,-0.45644,-0.059043,0.29712,0.42711,0.4967,-0.084389,-0.025794,-0.1021,-0.13823,-0.034914,-0.090787
CABYR,0.19615,0.19693,-0.054774,0.32567,-0.15796,-1.0906,-0.21623,0.086749,-0.25308,0.028446,0.2573,-0.066616
CACFD1,0.52709,0.011416,0.54854,0.37119,0.22021,-0.23187,-0.021272,0.00061163,0.2961,0.071781,0.22726,0.13701
CACHD1,-0.068004,-0.52484,-0.25588,0.10311,-0.16549,0.29113,-0.026112,-0.16455,0.05521,0.059283,0.068992,0.14777
CACNA1A,-0.18776,0.31469,0.22042,0.18335,0.24065,0.24475,0.069261,0.31516,0.22186,-0.12095,0.21211,0.31018
CACNA1B,-0.10795,0.26796,0.073112,0.80682,0.48215,0.27168,0.056901,0.20588,-0.15322,0.13768,0.078617,0.13825
CACNA1C,-0.21847,-0.07874,-0.050116,-0.11499,0.1353,-0.6033,-0.084243,0.31056,-0.071261,-0.1645,0.28345,-0.058639
CACNA1D,0.0032429,0.072898,-0.26421,-0.10271,0.10849,0.11903,-0.22486,-0.009569,-0.013734,-0.091331,0.17809,0.074578
CACNA1E,0.30128,0.15551,-0.40602,0.27186,-0.13816,-0.20097,0.042563,-0.051994,-0.057163,0.056101,0.017636,-0.24485
CACNA1F,-0.12597,0.029966,0.18243,-0.04713,-0.15032,-0.041078,0.0085178,0.018465,-0.16549,0.050031,0.062796,-0.16121
CACNA1G,0.19145,0.076026,-0.31199,0.20154,0.21666,0.51857,-0.12752,-0.22075,-0.11362,-0.077958,-0.16901,-0.03137
CACNA1H,0.19947,-0.27697,-0.13451,0.41494,0.59736,-0.39047,-0.11357,-0.24451,-0.15216,-0.092364,-0.14254,-0.061733
CACNA1I,0.07329,-0.018783,-0.0082676,-0.0029376,0.49681,0.16367,-0.15694,-0.35431,-0.0091904,-0.090861,-0.13979,0.076472
CACNA1S,-0.22008,-0.051047,-0.14538,0.37457,-0.18769,0.0070564,-0.015772,-0.15885,-0.17483,0.0047544,0.099042,-0.061823
CACNA2D1,-0.22016,-0.2221,0.28516,0.40503,-0.20537,-0.23134,-0.0071115,-0.069704,-0.12566,0.07908,-0.11433,-0.3487
CACNA2D2,0.379,0.29239,0.42068,0.15893,0.0062709,0.077727,-0.25754,-0.10057,-0.17838,-0.29,0.042241,-0.18923
CACNA2D3,-0.27771,0.13664,-0.37812,0.19004,0.14883,0.096676,0.022746,-0.12213,-0.19537,0.055881,0.055943,-0.18433
CACNA2D4,-0.11089,-0.187,0.046298,0.47478,0.022359,-0.14153,8.7594e-05,0.094326,-0.14031,-0.042698,0.081591,-0.22344
CACNB1,-0.13369,0.45441,0.072757,0.23195,-0.10808,-0.16295,0.12005,0.19025,0.19168,0.15001,-0.032764,0.015949
CACNB2,0.19779,-0.18641,-0.49544,0.27614,0.57225,-0.062537,0.20714,0.29728,0.15994,0.08214,-0.026787,0.0060064
CACNB3,0.034291,0.020064,-0.41062,-0.1155,0.035816,-0.52175,-0.18712,-0.16645,-0.32171,-0.18912,0.12103,-0.037913
CACNB4,-0.0069606,-0.04687,0.19675,0.78968,-0.72333,0.44697,-0.21235,0.064752,0.19225,-0.023414,0.049147,-0.10599
CACNG1,0.14827,-0.33028,0.10988,0.034277,-0.57348,0.037429,-0.17541,0.026761,-0.42201,-0.20721,0.16609,-0.17262
CACNG2,-0.05589,-0.10938,-0.12537,0.13788,0.16304,-0.00058036,-0.014968,-0.052881,0.1726,0.082226,0.10974,0.28928
CACNG3,-0.26541,0.54128,-0.076121,0.48308,0.023162,-0.0033377,-0.13389,0.046152,0.025747,-0.098985,0.12202,-0.0023747
CACNG4,-0.022934,-0.080208,-0.0040015,0.59211,-0.16985,0.077249,-0.11212,-0.15174,-0.19974,0.10271,-0.12496,-0.27297
CACNG5,0.070826,0.4513,0.43461,0.73254,0.25609,0.011773,0.031726,0.0026153,0.12251,0.11859,0.11533,0.081334
CACNG6,-0.073662,-0.12838,-0.1425,0.15694,-0.24997,0.156,0.076915,0.029097,-0.040203,0.061358,0.11321,-0.09495
CACNG7,0.27093,0.52621,0.24464,-0.20169,0.093736,-0.027288,0.053891,-0.10111,0.090866,0.13764,0.10564,0.16683
CACNG8,0.37645,-0.19909,-0.3363,-0.071441,-0.32115,-0.076717,0.095454,-0.020005,-0.084858,0.1494,0.14942,0.047747
CACTIN,-0.040072,0.4402,0.051908,0.53792,0.40001,-0.079089,-0.0084579,0.054732,0.009794,-0.016939,0.13469,-0.30317
CACUL1,0.017021,0.1924,-0.30767,0.073818,0.032328,0.2123,0.077425,0.12727,0.011904,0.016065,-0.023757,-0.11798
CACYBP,-0.30333,0.069358,-0.35264,0.1795,0.11088,-0.18346,-0.025537,-0.057535,-0.12366,-0.055646,-0.089117,0.033033
